2018-11-01 01:05:19 status unpacked dpkg:amd64 1.19.0.5ubuntu2
2018-11-01 01:05:19 status unpacked dpkg:amd64 1.19.0.5ubuntu2
2018-11-01 01:05:19 status unpacked dpkg:amd64 1.19.0.5ubuntu2
2018-11-01 01:05:19 status unpacked dpkg:amd64 1.19.0.5ubuntu2
2018-11-01 01:05:19 status unpacked dpkg:amd64 1.19.0.5ubuntu2
2018-11-01 01:05:19 status half-configured dpkg:amd64 1.19.0.5ubuntu2
2018-11-01 01:05:19 status installed dpkg:amd64 1.19.0.5ubuntu2
2018-11-01 01:05:19 startup archives install
2018-11-01 01:05:19 install libc6:amd64 <none> 2.27-3ubuntu1
2018-11-01 01:05:19 status half-installed libc6:amd64 2.27-3ubuntu1
2018-11-01 01:05:20 status unpacked libc6:amd64 2.27-3ubuntu1
2018-11-01 01:05:20 status unpacked libc6:amd64 2.27-3ubuntu1
2018-11-01 01:05:20 configure libc6:amd64 2.27-3ubuntu1 2.27-3ubuntu1
2018-11-01 01:05:20 status unpacked libc6:amd64 2.27-3ubuntu1
2018-11-01 01:05:20 status unpacked libc6:amd64 2.27-3ubuntu1
2018-11-01 01:05:20 status half-configured libc6:amd64 2.27-3ubuntu1
2018-11-01 01:05:20 status installed libc6:amd64 2.27-3ubuntu1
2018-11-01 01:05:20 startup archives install
2018-11-01 01:05:20 install perl-base:amd64 <none> 5.26.1-6
2018-11-01 01:05:20 status half-installed perl-base:amd64 5.26.1-6
2018-11-01 01:05:20 status unpacked perl-base:amd64 5.26.1-6
2018-11-01 01:05:20 status unpacked perl-base:amd64 5.26.1-6
2018-11-01 01:05:20 configure perl-base:amd64 5.26.1-6 5.26.1-6
2018-11-01 01:05:20 status unpacked perl-base:amd64 5.26.1-6
2018-11-01 01:05:20 status half-configured perl-base:amd64 5.26.1-6
2018-11-01 01:05:20 status installed perl-base:amd64 5.26.1-6
2018-11-01 01:05:20 startup archives install
2018-11-01 01:05:20 install mawk:amd64 <none> 1.3.3-17ubuntu3
2018-11-01 01:05:20 status half-installed mawk:amd64 1.3.3-17ubuntu3
2018-11-01 01:05:20 status unpacked mawk:amd64 1.3.3-17ubuntu3
2018-11-01 01:05:20 status unpacked mawk:amd64 1.3.3-17ubuntu3
2018-11-01 01:05:20 configure mawk:amd64 1.3.3-17ubuntu3 1.3.3-17ubuntu3
2018-11-01 01:05:20 status unpacked mawk:amd64 1.3.3-17ubuntu3
2018-11-01 01:05:20 status half-configured mawk:amd64 1.3.3-17ubuntu3
2018-11-01 01:05:20 status installed mawk:amd64 1.3.3-17ubuntu3
2018-11-01 01:05:20 startup archives install
